ownerOrg,period,count,component
Crypto Assets,0,2,domestic
Crypto Assets,1,3,domestic
Energy & Transportation,0,62,domestic
Energy & Transportation,1,59,domestic
Finance,0,2,domestic
Finance,1,1,domestic
Industrial Applications and Services,0,11,domestic
Industrial Applications and Services,1,10,domestic
Life Sciences,0,7,domestic
Life Sciences,1,7,domestic
Manufacturing,0,25,domestic
Manufacturing,1,24,domestic
Real Estate & Construction,0,4,domestic
Real Estate & Construction,1,4,domestic
Technology,0,9,domestic
Technology,1,7,domestic
Trade & Services,0,10,domestic
Trade & Services,1,11,domestic
Energy & Transportation,0,55,domestic
Energy & Transportation,1,53,domestic
Finance,0,2,domestic
Finance,1,4,domestic
Industrial Applications and Services,0,6,domestic
Industrial Applications and Services,1,5,domestic
Manufacturing,0,2,domestic
Manufacturing,1,2,domestic
Real Estate & Construction,0,1,domestic
Real Estate & Construction,1,1,domestic
Technology,0,1,domestic
Technology,1,1,domestic
Trade & Services,0,2,domestic
Trade & Services,1,3,domestic
Energy & Transportation,0,3,domestic
Energy & Transportation,1,1,domestic
Industrial Applications and Services,0,45,domestic
Industrial Applications and Services,1,41,domestic
Life Sciences,0,113,domestic
Life Sciences,1,112,domestic
Manufacturing,0,6,domestic
Manufacturing,1,3,domestic
Real Estate & Construction,0,3,domestic
Real Estate & Construction,1,3,domestic
Technology,0,4,domestic
Technology,1,3,domestic
Trade & Services,0,3,domestic
Trade & Services,1,2,domestic
Energy & Transportation,0,39,domestic
Energy & Transportation,1,35,domestic
Finance,0,2,domestic
Finance,1,2,domestic
Industrial Applications and Services,0,3,domestic
Industrial Applications and Services,1,5,domestic
Manufacturing,0,8,domestic
Manufacturing,1,7,domestic
Real Estate & Construction,0,3,domestic
Real Estate & Construction,1,2,domestic
Technology,0,2,domestic
Technology,1,1,domestic
Trade & Services,0,2,domestic
Trade & Services,1,2,domestic
Energy & Transportation,0,49,domestic
Energy & Transportation,1,46,domestic
Finance,0,1,domestic
Finance,1,2,domestic
Industrial Applications and Services,0,16,domestic
Industrial Applications and Services,1,14,domestic
Life Sciences,0,5,domestic
Life Sciences,1,5,domestic
Manufacturing,0,5,domestic
Manufacturing,1,5,domestic
Real Estate & Construction,0,3,domestic
Real Estate & Construction,1,3,domestic
Technology,0,3,domestic
Technology,1,3,domestic
Trade & Services,0,5,domestic
Trade & Services,1,6,domestic
Crypto Assets,0,1,domestic
Crypto Assets,1,1,domestic
Energy & Transportation,0,4,domestic
Industrial Applications and Services,0,4,domestic
Industrial Applications and Services,1,3,domestic
Manufacturing,0,1,domestic
Manufacturing,1,2,domestic
Real Estate & Construction,1,1,domestic
Technology,0,2,domestic
Technology,1,3,domestic
Trade & Services,0,1,domestic
Energy & Transportation,0,38,domestic
Energy & Transportation,1,35,domestic
Finance,0,2,domestic
Finance,1,3,domestic
Industrial Applications and Services,0,6,domestic
Industrial Applications and Services,1,7,domestic
Life Sciences,1,1,domestic
Manufacturing,0,3,domestic
Manufacturing,1,5,domestic
Real Estate & Construction,0,3,domestic
Real Estate & Construction,1,3,domestic
Technology,0,4,domestic
Technology,1,2,domestic
Trade & Services,0,1,domestic
Crypto Assets,0,1,domestic
Crypto Assets,1,1,domestic
Energy & Transportation,0,3,domestic
Energy & Transportation,1,3,domestic
Industrial Applications and Services,0,3,domestic
Industrial Applications and Services,1,4,domestic
Life Sciences,0,2,domestic
Life Sciences,1,2,domestic
Manufacturing,0,2,domestic
Manufacturing,1,2,domestic
Real Estate & Construction,0,1,domestic
Real Estate & Construction,1,1,domestic
Technology,0,3,domestic
Technology,1,1,domestic
Trade & Services,0,1,domestic
Trade & Services,1,1,domestic
